,index,Restaurant,Location,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
3632,6525,ID_1081,"FTI College, Law College Road, Pune",150,50,3.9,640,174,30
8331,1415,ID_1083,"Sector 14, Noida",200,50,NEW,-,-,30
6048,10783,ID_1085,"D-Block, Sector 63, Noida",150,50,3.7,44,29,30
2996,10295,ID_1086,"D-Block, Sector 63, Noida",100,50,3.5,31,23,30
4326,6309,ID_1088,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,4.1,58,32,45
5021,8604,ID_109,"FTI College, Law College Road, Pune",100,50,3.6,58,25,30
4749,2886,ID_1090,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.6,8,2,30
4996,10809,ID_1091,"Nathan Road, Mangaldas Road, Pune",300,199,4.1,116,71,45
3815,776,ID_1092,"Sector 1, Noida",200,50,3.3,68,35,65
6676,10881,ID_1092,"Sector 14, Noida",200,50,3.3,68,35,65
7072,9018,ID_1093,"Sector 1, Noida",150,50,3.5,53,35,30
1735,2291,ID_1094,"D-Block, Sector 63, Noida",150,50,3.1,5,-,30
4336,8590,ID_1095,Delhi Cantt.,350,50,3.8,166,97,30
3476,7304,ID_1096,"Jaya Nagar, Saidabad, Hyderabad",150,50,NEW,-,-,30
5579,4393,ID_1098,"Sector 1, Noida",100,0,2.7,427,225,65
6618,10785,ID_1098,"D-Block, Sector 63, Noida",100,99,3.2,145,62,65
8719,1649,ID_1098,"Sector 14, Noida",100,0,2.7,427,225,65
136,6000,ID_1099,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,-,-,-,30
5306,6531,ID_11,"Nathan Road, Mangaldas Road, Pune",900,50,4.2,1882,848,30
5460,10080,ID_11,"MG Road, Pune",900,50,4.2,1882,848,30
148,8999,ID_1100,"Sector 63A,Gurgaon",250,50,3.6,372,131,45
6259,2754,ID_1100,"D-Block, Sector 63, Noida",200,50,4.0,562,211,30
5100,10109,ID_1101,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,3.9,60,31,30
7016,3625,ID_1103,"Yerawada, Pune, Maharashtra",650,50,4.1,1033,485,65
8450,2237,ID_1103,"Nathan Road, Mangaldas Road, Pune",650,50,4.1,1033,485,65
5643,5275,ID_1104,"Rmz Centennial, I Gate, Whitefield",150,50,3.2,4,1,30
1521,9219,ID_1104,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,3.3,8,-,30
5040,7836,ID_1105,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,4.4,74,54,30
3942,2958,ID_1106,"Nathan Road, Mangaldas Road, Pune",150,50,3.4,195,124,45
5092,5383,ID_1108,"Sector 1, Noida",200,50,NEW,-,-,30
2602,10247,ID_111,"FTI College, Law College Road, Pune",450,99,3.1,4,3,45
5958,4081,ID_1110,"Nathan Road, Mangaldas Road, Pune",50,50,4.3,204,95,30
6473,8383,ID_1112,"Yerawada, Pune, Maharashtra",150,50,-,-,-,30
6471,6545,ID_1115,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,50,3.3,21,9,30
2147,4684,ID_1116,Delhi University-GTB Nagar,200,50,-,-,-,30
5538,3477,ID_1116,"Delhi Administration Flats, Timarpur",200,50,-,-,-,30
5751,9425,ID_1118,"D-Block, Sector 63, Noida",150,50,3.5,28,18,30
5042,1349,ID_1119,Pune University,100,50,NEW,-,-,30
6305,2103,ID_1120,"Delhi Administration Flats, Timarpur",150,50,3.4,15,8,30
839,8106,ID_1121,Delhi Cantt.,100,50,3.4,18,5,30
1645,4803,ID_1122,"Nathan Road, Mangaldas Road, Pune",200,50,3.5,90,35,30
6840,10412,ID_1122,"Yerawada, Pune, Maharashtra",200,50,3.5,-,-,30
6193,10271,ID_1123,"D-Block, Sector 63, Noida",100,50,3.7,53,22,30
3020,98,ID_1124,Delhi University-GTB Nagar,100,50,-,-,-,30
1565,9871,ID_1124,"Delhi Administration Flats, Timarpur",100,50,-,-,-,30
6052,3498,ID_1125,"Sector 1, Noida",100,50,3.0,-,-,30
228,3854,ID_1126,"Sector 3, Marathalli",200,50,2.7,41,14,45
5491,5043,ID_1128,"D-Block, Sector 63, Noida",100,50,3.2,6,3,30
6540,6918,ID_1130,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,50,-,-,-,30
3636,4341,ID_1131,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,50,4.0,52,12,45
8203,4201,ID_1133,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,3.4,8,3,30
2524,1835,ID_1135,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,50,3.2,9,3,30
1127,10201,ID_1136,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,99,3.8,205,80,30
8690,3965,ID_1137,"D-Block, Sector 63, Noida",150,50,3.4,30,13,30
762,7657,ID_1139,"D-Block, Sector 63, Noida",150,50,3.4,10,10,30
6867,3140,ID_114,"Sector 1, Noida",200,50,3.6,95,22,30
2459,719,ID_1140,Delhi Cantt.,200,50,3.9,570,127,45
3082,10906,ID_1140,"Musi Nagar, Malakpet, Hyderabad",200,50,3.9,817,103,65
2670,399,ID_1140,"Delhi High Court, India Gate",200,50,3.8,80,27,30
4140,9178,ID_1140,"Babarpur, New Delhi, Delhi",200,50,3.9,312,63,30
6928,8552,ID_1140,"Tejas Nagar Colony, Wadala West, Mumbai",200,50,3.9,782,316,65
8746,9970,ID_1140,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,3.8,130,25,30
2714,6082,ID_1140,"Sandhurst Road, Mumbai CST Area",200,50,3.8,353,141,30
7134,2375,ID_1140,Pune University,200,99,3.7,656,268,45
7790,5787,ID_1140,"Sector 1, Noida",200,50,3.8,551,161,45
4594,4229,ID_1140,"Noorkhan Bazaar, Malakpet, Hyderabad",200,50,3.9,817,103,65
4376,8412,ID_1140,"Sector 14, Noida",200,50,3.8,680,158,45
5699,3351,ID_1140,Majestic,200,50,4.1,697,388,30
4669,589,ID_1140,"Rmz Centennial, I Gate, Whitefield",200,50,4.0,2037,1062,65
7372,2370,ID_1140,Mumbai Central,200,99,3.7,1268,647,45
14,2815,ID_1140,"FTI College, Law College Road, Pune",200,50,3.8,669,144,30
8615,6074,ID_1142,"Sector 1, Noida",150,50,3.4,27,2,45
2523,6582,ID_1143,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,50,3.6,162,98,45
8054,9059,ID_1144,"Delhi Administration Flats, Timarpur",100,50,4.0,349,154,30
1090,8861,ID_1144,"Sector 63A,Gurgaon",200,50,3.6,47,18,30
60,2355,ID_1144,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,50,4.0,164,57,45
4922,7319,ID_1145,"Sector 63A,Gurgaon",100,50,4.2,227,126,65
5560,2704,ID_1146,Delhi Cantt.,150,99,3.9,539,171,45
7117,8799,ID_1146,"D-Block, Sector 63, Noida",150,99,3.9,419,195,45
2527,1241,ID_1146,"Delhi High Court, India Gate",150,99,4.0,1608,986,45
6389,2657,ID_1146,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,50,3.8,217,75,45
8278,6031,ID_1146,Delhi University-GTB Nagar,150,99,3.9,563,293,45
2765,7168,ID_1146,"Sector 63A,Gurgaon",150,99,3.8,589,249,45
4974,10868,ID_1146,"Delhi Administration Flats, Timarpur",150,99,3.9,563,293,45
6990,244,ID_1148,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,50,3.5,23,6,30
5743,1716,ID_1149,"D-Block, Sector 63, Noida",150,50,3.3,15,6,30
1176,8583,ID_1150,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,2.9,9,3,30
349,4439,ID_1152,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,3.8,24,3,30
1030,7919,ID_1153,Delhi University-GTB Nagar,150,50,3.6,374,87,45
1196,307,ID_1153,"Delhi Administration Flats, Timarpur",150,50,3.6,374,87,45
2130,537,ID_1156,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,-,-,-,30
1884,2730,ID_1156,"Sector 63A,Gurgaon",150,50,-,-,-,30
6806,2330,ID_1156,Mumbai Central,150,50,-,-,-,30
7432,6171,ID_1156,"Dockyard Road, Mumbai CST Area",150,50,-,-,-,30
4991,10281,ID_1156,"Delhi Administration Flats, Timarpur",150,50,-,-,-,30
960,1282,ID_1156,"Sandhurst Road, Mumbai CST Area",150,50,-,-,-,30
6183,9929,ID_1157,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,99,3.3,15,9,65
389,6261,ID_1158,Delhi University-GTB Nagar,200,50,4.1,321,146,30
8167,8478,ID_1159,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.7,80,23,45
1393,35,ID_1160,"Sector 1, Noida",600,50,4.7,914,499,45
7865,2425,ID_1160,"Sector 14, Noida",600,50,4.7,914,499,45
5217,10613,ID_1162,"Dockyard Road, Mumbai CST Area",350,50,4.0,75,58,30
3647,10437,ID_1163,Delhi University-GTB Nagar,400,50,4.1,582,294,65
2931,6107,ID_1164,"FTI College, Law College Road, Pune",350,50,4.3,418,220,30
6361,9228,ID_1164,Pune University,350,50,4.3,418,220,30
2687,1949,ID_1166,"Sector 14, Noida",300,50,4.7,81,74,45
5066,446,ID_1166,"Sector 1, Noida",300,50,4.7,81,74,45
855,6349,ID_1167,Majestic,50,50,4.4,391,124,45
5666,599,ID_1168,"Delhi Administration Flats, Timarpur",550,50,4.1,897,565,45
8024,8644,ID_117,"Sector 14, Noida",300,50,3.3,78,38,45
8576,7235,ID_1170,"Delhi Administration Flats, Timarpur",400,99,3.4,130,55,45
8395,4432,ID_1171,"Dockyard Road, Mumbai CST Area",100,50,3.1,5,2,30
4327,189,ID_1172,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,3.3,9,1,30
7111,10363,ID_1173,"BTM Layout 1, Electronic City",250,99,4.0,167,40,45
2389,911,ID_1175,"FTI College, Law College Road, Pune",150,50,3.5,143,32,30
5106,1157,ID_1175,"Nathan Road, Mangaldas Road, Pune",200,50,2.8,20,5,30
7362,5079,ID_1177,"D-Block, Sector 63, Noida",300,50,-,-,-,30
6777,2091,ID_118,"FTI College, Law College Road, Pune",250,50,3.9,140,83,30
1730,1928,ID_1180,"Sector 14, Noida",150,50,3.7,66,20,30
4038,8200,ID_1181,"Sector 14, Noida",200,50,3.4,417,181,45
8093,135,ID_1181,"Sector 1, Noida",200,50,3.4,417,181,45
4915,2436,ID_1182,Mumbai Central,250,50,3.7,52,33,30
5667,6769,ID_1182,"Dockyard Road, Mumbai CST Area",250,50,3.7,52,33,30
4837,3690,ID_1183,"MG Road, Pune",150,50,3.3,103,31,45
1109,9354,ID_1184,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",250,50,3.6,22,8,30
400,5936,ID_1185,"FTI College, Law College Road, Pune",100,50,3.4,16,2,30
4673,3278,ID_1185,Pune University,100,50,3.4,16,2,30
2761,2867,ID_1189,"MG Road, Pune",100,50,3.3,11,2,30
3047,3717,ID_119,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,-,-,-,30
3909,8643,ID_1190,"Sandhurst Road, Mumbai CST Area",250,50,3.2,74,36,30
5178,10490,ID_1192,"MG Road, Pune",150,50,3.6,63,36,45
3924,7492,ID_1192,"Nathan Road, Mangaldas Road, Pune",150,50,3.6,63,36,45
3642,4221,ID_1193,"FTI College, Law College Road, Pune",250,50,3.9,37,25,30
5629,9893,ID_1194,"D-Block, Sector 63, Noida",150,50,3.3,7,4,30
5852,1853,ID_1195,"D-Block, Sector 63, Noida",250,50,NEW,-,-,30
4086,6511,ID_1197,"FTI College, Law College Road, Pune",150,50,2.5,12,9,30
1118,1968,ID_1197,Pune University,150,50,2.5,12,9,30
182,7185,ID_1199,Mumbai Central,300,50,3.7,82,47,45
194,10814,ID_12,"Sector 1, Noida",100,50,3.5,63,12,30
243,7679,ID_120,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,3.7,132,84,45
5532,9017,ID_1200,"MG Road, Pune",200,50,3.4,18,7,45
445,115,ID_1203,"FTI College, Law College Road, Pune",150,50,3.0,4,-,30
6768,981,ID_1204,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.7,12,5,30
6506,9246,ID_1205,"Nathan Road, Mangaldas Road, Pune",200,50,2.8,35,14,30
8067,7103,ID_1207,"Nathan Road, Mangaldas Road, Pune",200,50,2.9,46,22,30
5856,9220,ID_1207,Pune University,200,50,2.8,77,26,45
4441,6457,ID_1207,"Yerawada, Pune, Maharashtra",200,50,2.5,74,39,45
2539,3389,ID_1207,"MG Road, Pune",200,50,3.5,52,21,45
5736,10221,ID_1208,"Nathan Road, Mangaldas Road, Pune",200,50,-,-,-,30
477,11059,ID_1209,Pune University,250,50,3.6,114,50,45
8428,39,ID_1209,"Tiretti, Kolkata",300,50,3.6,54,34,30
4648,5494,ID_1209,"Nathan Road, Mangaldas Road, Pune",250,50,3.4,47,24,30
2704,937,ID_1209,Delhi Cantt.,250,50,2.6,41,19,45
8311,3569,ID_1209,"Delhi Administration Flats, Timarpur",250,50,3.6,92,47,45
5785,10617,ID_1209,"FTI College, Law College Road, Pune",250,50,2.5,58,29,45
4419,8758,ID_1209,Majestic,250,50,3.6,37,12,45
1359,7754,ID_1209,"Sandhurst Road, Mumbai CST Area",250,50,3.5,41,20,45
4191,9747,ID_1209,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,50,3.6,46,15,45
2157,2087,ID_1209,"MG Road, Pune",250,50,3.4,47,24,30
8642,249,ID_1209,"Moulali, Kolkata",300,50,3.6,54,34,30
886,1989,ID_1209,"Delhi High Court, India Gate",250,50,3.6,57,35,45
5877,2373,ID_1209,"Yerawada, Pune, Maharashtra",250,50,3.4,16,8,30
7529,8292,ID_1209,"Sector 14, Noida",250,50,2.9,10,6,30
4402,4821,ID_1209,"Dockyard Road, Mumbai CST Area",250,50,3.0,28,21,45
6107,1817,ID_121,"Sector 1, Noida",150,50,NEW,-,-,30
5811,117,ID_1210,"Rmz Centennial, I Gate, Whitefield",250,50,3.8,118,69,45
3226,5217,ID_1212,"FTI College, Law College Road, Pune",150,50,3.5,24,11,30
1276,7292,ID_1213,"Yerawada, Pune, Maharashtra",450,50,4.0,1090,667,45
6058,5214,ID_1213,"Nathan Road, Mangaldas Road, Pune",450,50,4.0,1090,667,45
5330,2555,ID_1214,"D-Block, Sector 63, Noida",550,50,4.8,1367,1002,45
609,138,ID_1215,Pune University,100,50,3.3,12,1,30
887,3564,ID_1215,"FTI College, Law College Road, Pune",100,50,3.3,12,1,30
6464,9303,ID_1216,"Mico Layout, Stage 2, BTM Layout,Bangalore",350,50,4.3,185,105,30
7786,7141,ID_1218,"FTI College, Law College Road, Pune",200,50,3.0,27,6,45
3814,10967,ID_1218,Pune University,100,99,-,-,-,45
6312,10250,ID_1219,"Sector 14, Noida",200,50,4.0,71,55,30
3305,3465,ID_1219,"Sector 1, Noida",200,50,4.0,71,55,30
8825,7443,ID_122,"Delhi Administration Flats, Timarpur",200,50,3.4,21,8,30
5105,6588,ID_1222,"MG Road, Pune",100,50,3.3,8,1,30
6900,5454,ID_1222,"FTI College, Law College Road, Pune",100,50,3.4,10,3,30
7914,8378,ID_1223,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",250,50,3.8,164,109,45
6489,9465,ID_1224,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,99,4.2,926,577,30
1239,4288,ID_1225,"FTI College, Law College Road, Pune",200,50,3.5,57,35,45
904,6630,ID_1227,"Delhi High Court, India Gate",800,50,4.1,579,371,30
5920,3953,ID_1228,Pune University,150,50,4.1,114,74,45
6952,7303,ID_1231,"FTI College, Law College Road, Pune",100,50,3.5,9,4,30
1287,2519,ID_1232,"MG Road, Pune",100,50,-,-,-,30
7626,2804,ID_1232,Pune University,150,50,3.6,145,81,45
3905,804,ID_1233,"MG Road, Pune",200,50,4.0,109,53,30
1494,10919,ID_1234,"Tejas Nagar Colony, Wadala West, Mumbai",200,50,3.6,72,22,45
921,4654,ID_1235,Delhi Cantt.,150,50,NEW,-,-,30
8246,5056,ID_1236,Delhi Cantt.,200,50,3.3,14,8,30
2843,1547,ID_1238,"Sandhurst Road, Mumbai CST Area",150,50,3.3,12,6,30
8396,5059,ID_1238,"Dockyard Road, Mumbai CST Area",150,50,3.3,12,6,30
5108,4793,ID_1239,"MG Road, Pune",200,50,3.5,40,22,30
6282,8162,ID_124,Pune University,250,50,4.5,2244,1318,65
3921,9292,ID_1240,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,3.7,25,11,45
8206,10866,ID_1241,"FTI College, Law College Road, Pune",150,50,3.9,70,31,30
427,1704,ID_1242,"FTI College, Law College Road, Pune",150,50,3.3,19,6,30
4245,2162,ID_1243,Majestic,200,50,3.3,10,4,30
7247,3224,ID_1244,"Sector 1, Noida",150,50,3.9,125,81,45
5755,4441,ID_1245,"D-Block, Sector 63, Noida",200,50,3.4,12,6,30
6156,1098,ID_1246,"Dockyard Road, Mumbai CST Area",200,50,4.1,30,28,30
8342,3104,ID_1246,"Sandhurst Road, Mumbai CST Area",200,50,4.1,30,28,30
6394,7799,ID_1246,Mumbai Central,200,50,4.1,30,28,30
1796,7189,ID_1247,"MG Road, Pune",100,50,3.6,23,10,30
1536,4004,ID_1248,"FTI College, Law College Road, Pune",250,50,4.2,6975,2931,30
4080,633,ID_1249,"Yerawada, Pune, Maharashtra",150,50,3.2,13,1,45
5647,1941,ID_125,Delhi Cantt.,150,50,3.3,18,5,30
3405,3289,ID_1250,"Moulali, Kolkata",150,50,3.6,144,68,30
3005,1264,ID_1250,"Chandni Chowk, Kolkata",150,50,3.6,144,68,30
8064,10651,ID_1251,"Sector 1, Noida",200,50,-,-,-,30
8018,5555,ID_1252,"Sector 63A,Gurgaon",200,50,4.2,211,139,45
2833,2695,ID_1253,"FTI College, Law College Road, Pune",150,50,3.5,21,13,30
1103,4297,ID_1254,"Yerawada, Pune, Maharashtra",200,50,3.3,12,9,45
7649,2353,ID_1254,"Nathan Road, Mangaldas Road, Pune",200,50,3.3,12,9,45
979,4615,ID_1255,"FTI College, Law College Road, Pune",100,50,3.4,9,1,30
4209,8143,ID_1256,"FTI College, Law College Road, Pune",100,50,3.3,9,1,30
5680,4886,ID_1257,Majestic,200,50,3.4,4,1,30
2199,9761,ID_126,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.4,10,1,30
1569,11006,ID_1261,"FTI College, Law College Road, Pune",100,50,-,-,-,30
4608,3318,ID_1261,"MG Road, Pune",100,50,-,-,-,30
2062,3646,ID_1262,"FTI College, Law College Road, Pune",150,50,3.3,39,2,45
3155,9799,ID_1264,"MG Road, Pune",300,50,4.1,108,63,30
8561,6728,ID_1264,"Yerawada, Pune, Maharashtra",300,50,4.1,108,63,30
